metro,cbsa,date,hpi
"Abilene, TX",10180,1986Q2,108.06
"Abilene, TX",10180,1986Q3,108.28
"Abilene, TX",10180,1986Q4,94.8
"Abilene, TX",10180,1987Q1,101.63
"Abilene, TX",10180,1987Q2,100.89
"Abilene, TX",10180,1987Q3,95.2
"Abilene, TX",10180,1987Q4,94.09
"Abilene, TX",10180,1988Q1,82.69
"Abilene, TX",10180,1988Q2,87.54
"Abilene, TX",10180,1988Q3,83.18
"Abilene, TX",10180,1988Q4,84.89
"Abilene, TX",10180,1989Q1,88.78
"Abilene, TX",10180,1989Q2,80.93
"Abilene, TX",10180,1989Q3,84.2
"Abilene, TX",10180,1989Q4,76.42
"Abilene, TX",10180,1990Q1,81.58
"Abilene, TX",10180,1990Q2,79.83
"Abilene, TX",10180,1990Q3,79.49
"Abilene, TX",10180,1990Q4,82.68
"Abilene, TX",10180,1991Q1,83.67
"Abilene, TX",10180,1991Q2,87.81
"Abilene, TX",10180,1991Q3,88.38
"Abilene, TX",10180,1991Q4,83.71
"Abilene, TX",10180,1992Q1,93.31
"Abilene, TX",10180,1992Q2,90.94
"Abilene, TX",10180,1992Q3,91.99
"Abilene, TX",10180,1992Q4,92.6
"Abilene, TX",10180,1993Q1,94.69
"Abilene, TX",10180,1993Q2,97.51
"Abilene, TX",10180,1993Q3,96.91
"Abilene, TX",10180,1993Q4,99.49
"Abilene, TX",10180,1994Q1,98.06
"Abilene, TX",10180,1994Q2,100.31
"Abilene, TX",10180,1994Q3,99.2
"Abilene, TX",10180,1994Q4,96.99
"Abilene, TX",10180,1995Q1,100.0
"Abilene, TX",10180,1995Q2,101.97
"Abilene, TX",10180,1995Q3,100.69
"Abilene, TX",10180,1995Q4,102.37
"Abilene, TX",10180,1996Q1,105.42
"Abilene, TX",10180,1996Q2,106.53
"Abilene, TX",10180,1996Q3,105.62
"Abilene, TX",10180,1996Q4,105.7
"Abilene, TX",10180,1997Q1,105.53
"Abilene, TX",10180,1997Q2,105.62
"Abilene, TX",10180,1997Q3,108.83
"Abilene, TX",10180,1997Q4,109.55
"Abilene, TX",10180,1998Q1,109.72
"Abilene, TX",10180,1998Q2,108.21
"Abilene, TX",10180,1998Q3,110.86
"Abilene, TX",10180,1998Q4,112.18
"Abilene, TX",10180,1999Q1,112.52
"Abilene, TX",10180,1999Q2,113.83
"Abilene, TX",10180,1999Q3,114.98
"Abilene, TX",10180,1999Q4,115.91
"Abilene, TX",10180,2000Q1,114.48
"Abilene, TX",10180,2000Q2,114.11
"Abilene, TX",10180,2000Q3,115.67
"Abilene, TX",10180,2000Q4,118.6
